date,cases,admits,growth_rate,doubling_time,beta
2020-03-04,7,,,,
2020-03-05,11,4.0,0.36363636363636365,2.23484174296567,0.43506493506493504
2020-03-06,13,2.0,0.15384615384615385,4.843767254792994,0.22527472527472528
2020-03-07,14,1.0,0.07142857142857142,10.046649249713282,0.14285714285714285
2020-03-08,14,0.0,0.0,inf,0.07142857142857142
2020-03-09,19,5.0,0.2631578947368421,2.9670510117587106,0.33458646616541354
2020-03-10,20,1.0,0.05,14.206699082890463,0.12142857142857143
2020-03-11,28,8.0,0.2857142857142857,2.758087489450395,0.3571428571428571
2020-03-12,32,4.0,0.125,5.884949192361718,0.19642857142857142
2020-03-13,40,8.0,0.2,3.801784016923931,0.27142857142857146
2020-03-14,53,13.0,0.24528301886792453,3.1598205830079418,0.316711590296496
2020-03-15,69,16.0,0.2318840579710145,3.3237335117183644,0.3033126293995859
2020-03-16,94,25.0,0.26595744680851063,2.9391975984880534,0.33738601823708203
2020-03-17,144,50.0,0.3472222222222222,2.325647158458765,0.4186507936507936
2020-03-18,190,46.0,0.24210526315789474,3.197059308724712,0.31353383458646616
2020-03-19,231,41.0,0.1774891774891775,4.242432987389994,0.24891774891774893
2020-03-20,292,61.0,0.2089041095890411,3.6536378448939373,0.28033268101761255
2020-03-21,351,59.0,0.16809116809116809,4.461240933264132,0.2395197395197395
2020-03-22,421,70.0,0.166270783847981,4.5064777886505025,0.23769935527655242
2020-03-23,536,115.0,0.21455223880597016,3.5660216839214622,0.2859808102345416
2020-03-24,662,126.0,0.1903323262839879,3.9782878946979174,0.26176089771255934
2020-03-25,799,137.0,0.17146433041301626,4.379951571967067,0.24289290184158768
2020-03-26,1216,417.0,0.34292763157894735,2.3508306166837216,0.41435620300751874
2020-03-27,1465,249.0,0.16996587030716723,4.415665203162323,0.24139444173573865
2020-03-28,1804,339.0,0.18791574279379158,4.025238058736619,0.25934431422236304
2020-03-29,2136,332.0,0.15543071161048688,4.797756627452325,0.2268592830390583
2020-03-30,2474,338.0,0.13662085691188358,5.4126878376129435,0.208049428340455
2020-03-31,3011,537.0,0.17834606443042178,4.223627535779114,0.2497746358589932
2020-04-01,3518,507.0,0.14411597498578738,5.148447757676656,0.2155445464143588
2020-04-02,4045,527.0,0.13028430160692211,5.65976756988486,0.20171287303549354
2020-04-03,4566,521.0,0.11410424879544459,6.415016902271757,0.18553282022401602
2020-04-04,5277,711.0,0.13473564525298465,5.483771828735942,0.20616421668155607
2020-04-05,5940,663.0,0.11161616161616161,6.550559530741559,0.18304473304473304
2020-04-06,6360,420.0,0.0660377358490566,10.839108753030246,0.13746630727762804
2020-04-07,6910,550.0,0.07959479015918958,9.050599377788648,0.151023361587761
2020-04-08,7530,620.0,0.08233731739707835,8.760388055830942,0.1537658888256498
2020-04-09,7955,425.0,0.05342551854179761,13.317651644338559,0.12485408997036904
