"","date","county","state","fips","cases","deaths"
"1",2020-03-01,"New York City","New York",NA,1,0
"2",2020-03-02,"New York City","New York",NA,1,0
"3",2020-03-03,"New York City","New York",NA,2,0
"4",2020-03-04,"New York City","New York",NA,2,0
"5",2020-03-05,"New York City","New York",NA,4,0
"6",2020-03-06,"New York City","New York",NA,5,0
"7",2020-03-07,"New York City","New York",NA,12,0
"8",2020-03-08,"New York City","New York",NA,14,0
"9",2020-03-09,"New York City","New York",NA,20,0
"10",2020-03-10,"New York City","New York",NA,37,0
"11",2020-03-11,"New York City","New York",NA,52,0
"12",2020-03-12,"New York City","New York",NA,96,0
"13",2020-03-13,"New York City","New York",NA,155,0
"14",2020-03-14,"New York City","New York",NA,269,1
"15",2020-03-15,"New York City","New York",NA,330,5
"16",2020-03-16,"New York City","New York",NA,464,7
"17",2020-03-17,"New York City","New York",NA,645,10
"18",2020-03-18,"New York City","New York",NA,1339,20
"19",2020-03-19,"New York City","New York",NA,2468,22
"20",2020-03-20,"New York City","New York",NA,4408,43
"21",2020-03-21,"New York City","New York",NA,6211,60
"22",2020-03-22,"New York City","New York",NA,9045,99
"23",2020-03-23,"New York City","New York",NA,12305,131
"24",2020-03-24,"New York City","New York",NA,14905,192
"25",2020-03-25,"New York City","New York",NA,20011,280
"26",2020-03-26,"New York City","New York",NA,23112,365
"27",2020-03-27,"New York City","New York",NA,25399,450
"28",2020-03-28,"New York City","New York",NA,30766,672
"29",2020-03-29,"New York City","New York",NA,33768,776
"30",2020-03-30,"New York City","New York",NA,38087,914
"31",2020-03-31,"New York City","New York",NA,43139,1096
"32",2020-04-01,"New York City","New York",NA,47440,1374
"33",2020-04-02,"New York City","New York",NA,51810,1562
"34",2020-04-03,"New York City","New York",NA,57160,1867
"35",2020-04-04,"New York City","New York",NA,63307,2254
"36",2020-04-05,"New York City","New York",NA,67552,2472
"37",2020-04-06,"New York City","New York",NA,68776,3485
"38",2020-04-07,"New York City","New York",NA,76876,4009
"39",2020-04-08,"New York City","New York",NA,81803,4571
"40",2020-04-09,"New York City","New York",NA,87028,5150
